SKU_ID,Preflight_Short,Complexity_Band,Readiness_Band,Criticality_Band,Current_Lane,Target_Lane_After_Evidence,Confidence,Design_Release,Estimate_Status,Creation_Effort_1_5,Validation_Effort_1_5,Research_Risk_1_5,Basis,Source_Or_Linked_Preflight,Assessed_On,Estimate_Version
SKU-011,C2 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1,E,B,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,2,1,"C band from creation/validation planning effort (2/2); K band from the research-risk proxy (1/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-012,C2 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1,E,B,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,2,1,"C band from creation/validation planning effort (2/2); K band from the research-risk proxy (1/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-013,C2 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1,E,B,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,2,1,"C band from creation/validation planning effort (2/2); K band from the research-risk proxy (1/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-014,C3 · R2 · K1 · Lane E · LOW_UNKNOWN,C3,R2,K1,E,C,LOW_UNKNOWN,HOLD,LINKED CURRENT PRODUCT PREFLIGHT — NOT RELEASE APPROVAL,1,1,1,Mapped to MM-ORG-026; exact current scorecard from the linked product preflight.,products/organization-storage/mm-org-026-personalized-desk-nameplate/preflight/preflight-result.json,2026-08-31,1.0
SKU-015,C1 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C1,R0–R1,K1,E,B,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,1,1,1,"C band from creation/validation planning effort (1/1); K band from the research-risk proxy (1/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-016,C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1–K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,2,2,"C band from creation/validation planning effort (2/2); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-017,C1–C2 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C1–C2,R0–R1,K1,E,B,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,1,2,1,"C band from creation/validation planning effort (1/2); K band from the research-risk proxy (1/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-018,C2 · R2 · K1 · Lane E · LOW_UNKNOWN,C2,R2,K1,E,B,LOW_UNKNOWN,HOLD,LINKED CURRENT PRODUCT PREFLIGHT — NOT RELEASE APPROVAL,1,1,1,Mapped to MM-ORG-010; exact current scorecard from the linked product preflight.,products/organization-storage/mm-org-010-personalized-pen-stationery-caddy/preflight/preflight-result.json,2026-08-31,1.0
SKU-019,C2–C3 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C2–C3,R0–R1,K1,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,3,1,"C band from creation/validation planning effort (2/3); K band from the research-risk proxy (1/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-020,C2 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1,E,B,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,2,1,"C band from creation/validation planning effort (2/2); K band from the research-risk proxy (1/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-021,C2 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1,E,B,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,2,1,"C band from creation/validation planning effort (2/2); K band from the research-risk proxy (1/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-022,C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1–K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,2,2,"C band from creation/validation planning effort (2/2); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-023,C2 · R1 · K1 · Lane E · LOW_UNKNOWN,C2,R1,K1,E,B,LOW_UNKNOWN,HOLD,LINKED CURRENT PRODUCT PREFLIGHT — NOT RELEASE APPROVAL,2,2,2,Mapped to MM-ORG-022; exact current scorecard from the linked product preflight.,products/organization-storage/mm-org-022-labelable-small-parts-bin-set/preflight/preflight-result.json,2026-08-31,1.0
SKU-024,C2 · R2 · K1 · Lane E · LOW_UNKNOWN,C2,R2,K1,E,B,LOW_UNKNOWN,HOLD,LINKED CURRENT PRODUCT PREFLIGHT — NOT RELEASE APPROVAL,1,1,1,Mapped to MM-ORG-027; exact current scorecard from the linked product preflight.,products/organization-storage/mm-org-027-vinyl-record-divider-label-set/preflight/preflight-result.json,2026-08-31,1.0
SKU-025,C3 · R2 · K1 · Lane E · LOW_UNKNOWN,C3,R2,K1,E,C,LOW_UNKNOWN,HOLD,LINKED CURRENT PRODUCT PREFLIGHT — NOT RELEASE APPROVAL,2,3,1,Mapped to MM-ORG-034; exact current scorecard from the linked product preflight.,products/organization-storage/mm-org-034-snap-on-journal-pen-loop/preflight/preflight-result.json,2026-08-31,1.0
SKU-026,C2 · R2 · K1 · Lane C · LOW_UNKNOWN,C2,R2,K1,C,B,LOW_UNKNOWN,GO_WITH_CONTROLS,LINKED CURRENT PRODUCT PREFLIGHT — NOT RELEASE APPROVAL,1,2,1,Mapped to MM-ORG-016; exact current scorecard from the linked product preflight.,products/organization-storage/mm-org-016-stencil-ruler-bookmark-set/preflight/preflight-result.json,2026-08-31,1.0
SKU-027,C1–C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C1–C2,R0–R1,K1–K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,1,2,2,"C band from creation/validation planning effort (1/2); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-028,C1 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C1,R0–R1,K1,E,B,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,1,1,1,"C band from creation/validation planning effort (1/1); K band from the research-risk proxy (1/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-029,C2–C3 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2–C3,R0–R1,K1–K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,3,2,"C band from creation/validation planning effort (2/3); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-030,C2 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1,E,B,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,2,1,"C band from creation/validation planning effort (2/2); K band from the research-risk proxy (1/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-031,C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1–K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,2,2,"C band from creation/validation planning effort (2/2); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-032,C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1–K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,2,2,"C band from creation/validation planning effort (2/2); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-033,C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1–K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,2,2,"C band from creation/validation planning effort (2/2); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-034,C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1–K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,2,2,"C band from creation/validation planning effort (2/2); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-035,C3 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C3,R0–R1,K1–K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,3,3,2,"C band from creation/validation planning effort (3/3); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-036,C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1–K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,2,2,"C band from creation/validation planning effort (2/2); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-037,C1–C2 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C1–C2,R0–R1,K1,E,B,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,1,2,1,"C band from creation/validation planning effort (1/2); K band from the research-risk proxy (1/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-038,C1–C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C1–C2,R0–R1,K1–K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,1,2,2,"C band from creation/validation planning effort (1/2); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-039,C2–C3 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2–C3,R0–R1,K1–K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,3,2,"C band from creation/validation planning effort (2/3); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-040,C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1–K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,2,2,"C band from creation/validation planning effort (2/2); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-041,C3–C4 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C3–C4,R0–R1,K1–K2,E,D,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,4,2,"C band from creation/validation planning effort (2/4); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-042,C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1–K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,2,2,"C band from creation/validation planning effort (2/2); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-043,C2–C3 · R0–R1 · K2 · Lane E · LOW_UNKNOWN,C2–C3,R0–R1,K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,3,3,"C band from creation/validation planning effort (2/3); K band from the research-risk proxy (3/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-044,C2–C3 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2–C3,R0–R1,K1–K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,3,2,"C band from creation/validation planning effort (2/3); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-045,C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1–K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,2,2,"C band from creation/validation planning effort (2/2); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-046,C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1–K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,2,2,"C band from creation/validation planning effort (2/2); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-047,C2 · R2 · K1 · Lane E · LOW_UNKNOWN,C2,R2,K1,E,B,LOW_UNKNOWN,HOLD,LINKED CURRENT PRODUCT PREFLIGHT — NOT RELEASE APPROVAL,2,2,2,Mapped to MM-ORG-035; exact current scorecard from the linked product preflight.,products/organization-storage/mm-org-035-stamp-and-ink-pad-desk-organizer/preflight/preflight-result.json,2026-08-31,1.0
SKU-048,C3–C4 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C3–C4,R0–R1,K1–K2,E,D,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,3,4,2,"C band from creation/validation planning effort (3/4); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-049,C3 · R0–R1 · K2 · Lane E · LOW_UNKNOWN,C3,R0–R1,K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,3,3,3,"C band from creation/validation planning effort (3/3); K band from the research-risk proxy (3/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-050,C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1–K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,2,2,"C band from creation/validation planning effort (2/2); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-051,C2–C3 · R0–R1 · K2 · Lane E · LOW_UNKNOWN,C2–C3,R0–R1,K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,3,3,"C band from creation/validation planning effort (2/3); K band from the research-risk proxy (3/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-052,C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1–K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,2,2,"C band from creation/validation planning effort (2/2); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-053,C3 · R2 · K1 · Lane E · LOW_UNKNOWN,C3,R2,K1,E,C,LOW_UNKNOWN,HOLD,LINKED CURRENT PRODUCT PREFLIGHT — NOT RELEASE APPROVAL,1,2,2,Mapped to MM-ORG-023; exact current scorecard from the linked product preflight.,products/organization-storage/mm-org-023-page-holder-thumb-tool/preflight/preflight-result.json,2026-08-31,1.0
SKU-054,C3 · R0–R1 · K2 · Lane E · LOW_UNKNOWN,C3,R0–R1,K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,3,3,3,"C band from creation/validation planning effort (3/3); K band from the research-risk proxy (3/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-055,C3–C4 · R0–R1 · K2 · Lane E · LOW_UNKNOWN,C3–C4,R0–R1,K2,E,D,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,3,5,3,"C band from creation/validation planning effort (3/5); K band from the research-risk proxy (3/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-056,C2–C3 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2–C3,R0–R1,K1–K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,3,2,"C band from creation/validation planning effort (2/3); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-057,C2–C3 · R0–R1 · K2 · Lane E · LOW_UNKNOWN,C2–C3,R0–R1,K2,E,C,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,2,3,3,"C band from creation/validation planning effort (2/3); K band from the research-risk proxy (3/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-058,C3–C4 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C3–C4,R0–R1,K1–K2,E,D,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,3,4,2,"C band from creation/validation planning effort (3/4); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-059,C3–C4 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C3–C4,R0–R1,K1–K2,E,D,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,3,4,2,"C band from creation/validation planning effort (3/4); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
SKU-060,C3–C4 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C3–C4,R0–R1,K1–K2,E,D,LOW_UNKNOWN,CONCEPT_ONLY,PRELIMINARY IDEA ESTIMATE — NOT RELEASE APPROVAL,4,4,2,"C band from creation/validation planning effort (4/4); K band from the research-risk proxy (2/5); R0–R1 and Lane E until critical interfaces, the manufacturing profile, acceptance criteria, and verification evidence exist.",business/02-portfolio/research-idea-priority.csv,2026-08-31,1.0
